,AAPL_Close,VIX,GDP,FedRate,CPI,Unemployment
2023-09-08,176.88356018066406,13.84000015258789,27967.697,5.33,307.374,3.8
2023-09-11,178.05499267578125,13.800000190734863,27967.697,5.33,307.374,3.8
2023-09-12,175.0172576904297,14.229999542236328,27967.697,5.33,307.374,3.8
2023-09-13,172.94247436523438,13.479999542236328,27967.697,5.33,307.374,3.8
2023-09-14,174.4613494873047,12.819999694824219,27967.697,5.33,307.374,3.8
2023-09-15,173.7366180419922,13.789999961853027,27967.697,5.33,307.374,3.8
2023-09-18,176.6750946044922,14.0,27967.697,5.33,307.374,3.8
2023-09-19,177.76710510253906,14.109999656677246,27967.697,5.33,307.374,3.8
2023-09-20,174.21316528320312,15.140000343322754,27967.697,5.33,307.374,3.8
2023-09-21,172.66448974609375,17.540000915527344,27967.697,5.33,307.374,3.8
2023-09-22,173.5182342529297,17.200000762939453,27967.697,5.33,307.374,3.8
2023-09-25,174.79884338378906,16.899999618530273,27967.697,5.33,307.374,3.8
2023-09-26,170.70883178710938,18.940000534057617,27967.697,5.33,307.374,3.8
2023-09-27,169.18995666503906,18.219999313354492,27967.697,5.33,307.374,3.8
2023-09-28,169.44805908203125,17.34000015258789,27967.697,5.33,307.374,3.8
2023-09-29,169.96429443359375,17.520000457763672,27967.697,5.33,307.374,3.8
2023-10-01,169.96429443359375,17.520000457763672,28296.967,5.33,307.653,3.9
2023-10-02,172.48580932617188,17.610000610351562,28296.967,5.33,307.653,3.9
2023-10-03,171.14561462402344,19.780000686645508,28296.967,5.33,307.653,3.9
2023-10-04,172.39645385742188,18.579999923706055,28296.967,5.33,307.653,3.9
2023-10-05,173.63735961914062,18.489999771118164,28296.967,5.33,307.653,3.9
2023-10-06,176.19859313964844,17.450000762939453,28296.967,5.33,307.653,3.9
2023-10-09,177.68768310546875,17.700000762939453,28296.967,5.33,307.653,3.9
2023-10-10,177.092041015625,17.030000686645508,28296.967,5.33,307.653,3.9
2023-10-11,178.49179077148438,16.09000015258789,28296.967,5.33,307.653,3.9
2023-10-12,179.39517211914062,16.690000534057617,28296.967,5.33,307.653,3.9
2023-10-13,177.54873657226562,19.31999969482422,28296.967,5.33,307.653,3.9
2023-10-16,177.4196319580078,17.209999084472656,28296.967,5.33,307.653,3.9
