,AAPL_Close,VIX,GDP,FedRate,CPI,Unemployment,VIX_Rolling_30,CPI_Rolling_90,GDP_Change,CPI_Change,VIX_Change,VIX_FedRate_Interaction,GDP_Lag_1Q,CPI_Lag_1M,FedRate_Lag_1M,Unemployment_Lag_1M
2022-05-11,144.37586975097656,1.8779119993323476,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,1.0180191468231954,-0.0802628756604957,-0.05227334548023093,-0.13799393335649032,-0.22023796982421864,-0.5077615884726495,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-12,140.49298095703125,1.753166388271901,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,1.0545085741141793,-0.0766323337205832,-0.05227334548023093,-0.13799393335649032,-0.3905057851035408,-0.5231138010737683,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-13,144.97702026367188,1.2952400525193197,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,1.0887629677653194,-0.07300179178067345,-0.05227334548023093,-0.13799393335649032,-1.4067470608216386,-0.579469951822177,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-14,144.97702026367188,1.2952400525193197,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,1.1187416311884513,-0.06937124984076369,-0.05227334548023093,-0.13799393335649032,-0.02259067893923789,-0.579469951822177,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-15,144.97702026367188,1.2952400525193197,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,1.148720294611583,-0.06574070790085394,-0.05227334548023093,-0.13799393335649032,-0.02259067893923789,-0.579469951822177,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-16,143.4297637939453,1.0741718962694717,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,1.1718966607871917,-0.06211016596094418,-0.05227334548023093,-0.13799393335649032,-0.757927227427193,-0.6066764026562705,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-17,147.07611083984375,0.8578413192396418,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,1.1884165056724965,-0.058479624021034425,-0.05227334548023093,-0.13799393335649032,-0.7788417796320579,-0.6332998083412638,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-18,138.77822875976562,1.6252625918521977,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,1.2311251634516605,-0.05484908208112467,-0.05227334548023093,-0.13799393335649032,2.800989206647056,-0.5388546857304156,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-19,135.35850524902344,1.3710346940546851,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,1.2698982132790997,-0.051218540141214915,-0.05227334548023093,-0.13799393335649032,-0.8111402988952864,-0.5701420448843315,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-20,135.59506225585938,1.3836671343105793,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,1.3141616879476932,-0.04758799820130516,-0.05227334548023093,-0.13799393335649032,0.018741271632532707,-0.568587393728024,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-21,135.59506225585938,1.3836671343105793,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,1.3469584425026282,-0.043957456261395404,-0.05227334548023093,-0.13799393335649032,-0.02259067893923789,-0.568587393728024,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-22,135.59506225585938,1.3836671343105793,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,1.3528861581459053,-0.04032691432148565,-0.05227334548023093,-0.13799393335649032,-0.02259067893923789,-0.568587393728024,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-23,141.03501892089844,1.2336566427383442,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,1.3541980305522747,-0.03669637238157589,-0.05227334548023093,-0.13799393335649032,-0.5120742583711927,-0.5870489086417578,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-24,138.3248748779297,1.386825319669836,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,1.3602229239887758,-0.03306583044166339,-0.05227334548023093,-0.13799393335649032,0.49386938251943346,-0.5681987216724952,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-25,138.4825439453125,1.2162872256246977,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,1.3667822767532396,-0.029435288501756376,-0.05227334548023093,-0.13799393335649032,-0.5786778220665365,-0.5891865308155513,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-26,141.69529724121094,1.078909174308357,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,1.3375324282445185,-0.02580474656184662,-0.05227334548023093,-0.13799393335649032,-0.4876033238725636,-0.6060933945729775,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-27,147.47030639648438,0.7978370021382946,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,1.3089628057535956,-0.022174204621936866,-0.05227334548023093,-0.13799393335649032,-1.0040943216789804,-0.6406844291330802,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-28,147.47030639648438,0.7978370021382946,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,1.2882158195368938,-0.01854366268202437,-0.05227334548023093,-0.13799393335649032,-0.02259067893923789,-0.6406844291330802,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-29,147.47030639648438,0.7978370021382946,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,1.2509003902708915,-0.014913120742114613,-0.05227334548023093,-0.13799393335649032,-0.02259067893923789,-0.6406844291330802,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-30,147.47030639648438,0.7978370021382946,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,1.2135849610048886,-0.012859350929046122,-0.05227334548023093,-0.13799393335649032,-0.02259067893923789,-0.6406844291330802,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-31,146.68190002441406,0.8720528521751644,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,1.1785531635427262,-0.01080558111597763,-0.05227334548023093,-0.13799393335649032,0.2545067352146622,-0.6315508211571917,-0.11710081953355801,0.06938834025007556,-0.754284303010893,-0.5918089385981319
2022-06-01,146.5538330078125,0.7931000252805424,-0.04992650767257429,-0.5929282621247912,0.20248805196234504,-0.5895950659730458,1.1462422886865264,-0.006729662684768331,-0.05227334548023093,14.872498704447489,-0.3120842588380331,-0.35598863497457095,-0.11710081953355801,0.06938834025007556,-0.754284303010893,-0.5918089385981319
2022-06-02,149.01756286621094,0.6399313483490505,-0.04992650767257429,-0.5929282621247912,0.20248805196234504,-0.5895950659730458,1.1242320189600674,-0.0026537442535590323,-0.05227334548023093,-0.13799393335649032,-0.595139608801137,-0.3856103573548407,-0.11710081953355801,0.06938834025007556,-0.754284303010893,-0.5918089385981319
2022-06-03,143.2720947265625,0.6509849971064492,-0.04992650767257429,-0.5929282621247912,0.20248805196234504,-0.5895950659730458,1.1211709926125895,0.0014221741776502667,-0.05227334548023093,-0.13799393335649032,0.0203495114334712,-0.3834726610494327,-0.11710081953355801,0.06938834025007556,-0.754284303010893,-0.5918089385981319
2022-06-04,143.2720947265625,0.6509849971064492,-0.04992650767257429,-0.5929282621247912,0.20248805196234504,-0.5895950659730458,1.0900262234729234,0.005498092608862308,-0.05227334548023093,-0.13799393335649032,-0.02259067893923789,-0.3834726610494327,-0.11710081953355801,0.06938834025007556,-0.754284303010893,-0.5918089385981319
2022-06-05,143.2720947265625,0.6509849971064492,-0.04992650767257429,-0.5929282621247912,0.20248805196234504,-0.5895950659730458,1.063788821682453,0.009574011040071608,-0.05227334548023093,-0.13799393335649032,-0.02259067893923789,-0.3834726610494327,-0.11710081953355801,0.06938834025007556,-0.754284303010893,-0.5918089385981319
2022-06-06,144.0210723876953,0.6951983874115125,-0.04992650767257429,-0.5929282621247912,0.20248805196234504,-0.5895950659730458,1.0389118719275794,0.013649929471280907,-0.05227334548023093,-0.13799393335649032,0.14868040051455536,-0.37492210881287535,-0.11710081953355801,0.06938834025007556,-0.754284303010893,-0.5918089385981319
2022-06-07,146.5538330078125,0.5293975714052593,-0.04992650767257429,-0.5929282621247912,0.20248805196234504,-0.5895950659730458,1.0089332085044476,0.017725847902490207,-0.05227334548023093,-0.13799393335649032,-0.6576862653124952,-0.40698679619250266,-0.11710081953355801,0.06938834025007556,-0.754284303010893,-0.5918089385981319
2022-06-08,145.81466674804688,0.5199230153274891,-0.04992650767257429,-0.5929282621247912,0.20248805196234504,-0.5895950659730458,0.9565069845527332,0.021801766333699506,-0.05227334548023093,-0.13799393335649032,-0.0604691655444244,-0.4088191073114238,-0.11710081953355801,0.06938834025007556,-0.754284303010893,-0.5918089385981319
